word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster
sadhamāda	0.056107668324283	0.781310536840881	0.783322555160627	16	14	0.875	6
kṣumat	1.39288969075351	0.990949328442924	1.70942161626349	13	13	1	1
tvāvat	0.118655558597218	0.846056721698507	0.854336653736244	22	20	0.909090909090909	6
tman	0.493233286951216	0.865655294645438	0.996312282622462	78	70	0.897435897435897	2
cakrī	0.00547943197031999	0.581666061497115	0.581691869697595	4	3	0.75	7
nānad	0.0353824174252438	0.800274379916312	0.801056176939727	9	8	0.888888888888889	6
āśvina	0.447566970396208	0.991268277672019	1.08762539107382	4	4	1	2
aśvāvat	0.334963673550561	0.911838694454612	0.971416732048186	33	31	0.939393939393939	4
hiraṇyavat	1.39288956231723	0.990949327845317	1.7094215112632	13	13	1	1
yojana	0.0548752105223147	0.736575884752698	0.738617169262324	20	17	0.85	6
amartya	0.263338578232846	0.790770317590419	0.833465597351054	71	61	0.859154929577465	4
cakra	0.11996291526539	0.61663025887303	0.628191035590919	76	58	0.763157894736842	7
nakṣ	0.127211972892322	0.759710905044334	0.770287962576619	41	35	0.853658536585366	6
vibhāvarī	0.00547943197032009	0.581666061497116	0.581691869697595	4	3	0.75	7
anta	0.450990324403624	0.910809919610004	1.01634983266869	45	42	0.933333333333333	2
parāka	0.0449050490596036	0.820652055558757	0.821879711225346	10	9	0.9	6
aśvā	0.895903235404802	0.991276169769859	1.33614035638566	8	8	1	2
duhitṛ	0.0982304736434289	0.599039037896376	0.607039533206881	67	50	0.746268656716418	7
śiva	0.784823522028385	0.937829020885394	1.22289461244373	53	50	0.943396226415094	2
bhrāj	1.04592851964563	0.969956675714501	1.42645799832004	33	32	0.96969696969697	1
ṛṣṭi	0.0530728345196519	0.675329001710998	0.677411238699155	26	21	0.807692307692308	7
aṅgirastama	0.0677317648220834	0.851877431139617	0.854565825229951	12	11	0.916666666666667	6
bhuvana	0.257658371624716	0.590602593825767	0.644359573764543	182	131	0.71978021978022	5
śayu	1.33204161868406	0.99120648023496	1.66036898319808	12	12	1	1
mātariśvan	0.524810406304247	0.951932123232165	1.08701459502921	27	26	0.962962962962963	2
āvis	1.29945157799338	0.974290335665214	1.62413548133156	35	34	0.971428571428571	1
vivasvant	0.932050451471263	0.967395577527013	1.34334368182778	32	31	0.96875	2
rej	0.176365023002358	0.848852425362858	0.866980427335605	32	29	0.90625	4
bhāra	0.895875441385838	0.991275925054468	1.33612153865989	8	8	1	2
manu	0.309406799033744	0.799638090963476	0.857411012180284	79	68	0.860759493670886	4
purūravas	0.00144892323972772	0.196793319409922	0.196798653305683	6	2	0.333333333333333	8
śvātra	0.560891718175087	0.991299632452202	1.1389795787534	5	5	1	2
nī	0.50526368406861	0.775555285918724	0.925622704969502	149	123	0.825503355704698	5
apara	0.162772297677705	0.842529916610837	0.858109247867393	31	28	0.903225806451613	4
udyam	1.56558615895158	0.991262790820529	1.85301428531084	14	14	1	1
sruc	0.126439550942594	0.821475131170011	0.831148814096099	28	25	0.892857142857143	6
āhuti	0.131776419861714	0.893529523007877	0.903194349693495	16	15	0.9375	6
vṛjina	0.0632906803454154	0.754343342940643	0.756993784160379	21	18	0.857142857142857	6
vidatha	0.35153204617017	0.761808052872603	0.839003151904767	112	93	0.830357142857143	5
vicarṣaṇi	0.190773042638055	0.85487804973093	0.875905721929672	33	30	0.909090909090909	4
śūrasāti	1.23230123019075	0.991291822520565	1.58152641436234	11	11	1	1
dabhra	0.0813040468395312	0.864369003455779	0.868184382586799	13	12	0.923076923076923	6
samṛti	0.991327376925504	0.991134194739942	1.40181202742193	9	9	1	1
tṛṣ	0.106166316473623	0.837438986757131	0.84414177914281	21	19	0.904761904761905	6
mayas	0.467768953298325	0.948268730779514	1.05736530085113	26	25	0.961538461538462	2
dyāvāpṛthivī	0.303735565213348	0.796657458245217	0.852595096955877	79	68	0.860759493670886	4
upastha	0.378133387988554	0.85376301655156	0.93375379385731	66	59	0.893939393939394	4
jāgṛvi	0.0706967262338327	0.766061623209181	0.769316864272496	22	19	0.863636363636364	6
pramati	0.034975114749047	0.618364802153045	0.61935311995136	22	17	0.772727272727273	7
kalyāṇa	0.447566970519117	0.991268277674587	1.08762539112674	4	4	1	2
vayaskṛt	0.447566969085276	0.99126827764451	1.08762539050929	4	4	1	2
śatin	0.0964106617476169	0.875267722802832	0.88056152668571	14	13	0.928571428571429	6
putra	0.430551093735064	0.749030906944175	0.8639569108897	147	120	0.816326530612245	5
pāyu	0.100910926671714	0.774143184547256	0.780692439634656	30	26	0.866666666666667	6
maghavan	0.324956625060487	0.472281005037061	0.573276683539038	370	221	0.597297297297297	5
trātṛ	0.200072495861437	0.914746435319632	0.936370676885067	19	18	0.947368421052632	4
tanaya	0.748345359742108	0.918123965610126	1.18447135620715	68	63	0.926470588235294	2
yajyu	1.56558615903349	0.991262790820978	1.85301428538029	14	14	1	1
avṛka	0.227770642706576	0.920664267565371	0.948420876642141	20	19	0.95	4
dhāyas	0.127810119161087	0.77876310056852	0.789181470491462	37	32	0.864864864864865	6
kīri	1.39288951446136	0.990949327623007	1.70942147213989	13	13	1	1
spārha	0.0916677080476563	0.763098107897785	0.76858421202617	29	25	0.862068965517241	6
rekṇas	0.0677317648220834	0.851877431139617	0.854565825229951	12	11	0.916666666666667	6
ādhra	0.447566971903611	0.991268277703623	1.08762539172294	4	4	1	2
pāka	0.0287842674780324	0.709632383524716	0.710215920548967	12	10	0.833333333333333	7
diś	0.145584694688842	0.831790553966656	0.844434976179812	30	27	0.9	6
viduṣṭara	0.067731764822666	0.851877431141184	0.854565825231559	12	11	0.916666666666667	6
prayam	0.329410890839973	0.935876159946289	0.992157105381903	23	22	0.956521739130435	4
varman	0.0237752574565506	0.633766214573496	0.634212013132788	14	11	0.785714285714286	7
sīv	0.447566977620886	0.991268277823562	1.08762539418496	4	4	1	2
svādu	0.0291538707962379	0.523874950488248	0.524685536232388	27	19	0.703703703703704	7
jīva	0.06106327440624	0.633518255952749	0.636454322089672	36	28	0.777777777777778	7
upama	0.236176621298877	0.892456027048083	0.923177749224168	29	27	0.931034482758621	4
mṛṣ	0.895875441385838	0.991275925054468	1.33612153865989	8	8	1	2
bhṛmi	0.558872586664723	0.991271052328219	1.13796171609998	5	5	1	2
manuṣvat	0.047906021547197	0.689367187302406	0.69102974308615	22	18	0.818181818181818	7
aṅgirasvat	1.23230136167309	0.99129182349297	1.58152651742086	11	11	1	1
vat	0.0733040220645849	0.571528284035731	0.576210082438404	56	41	0.732142857142857	7
sadana	0.460517438097935	0.88831149487659	1.00058663928826	59	54	0.915254237288136	2
śakti	1.68122325377933	0.991286182813181	1.95170692607386	15	15	1	1
ahi	0.11606149762911	0.557167196932338	0.569127012686404	94	67	0.712765957446808	7
tṛd	0.0722489445155257	0.803539938433933	0.806781471429542	18	16	0.888888888888889	6
vakṣaṇā	0.0813040468395312	0.864369003455779	0.868184382586799	13	12	0.923076923076923	6
bhid	0.161976106538676	0.714351360825999	0.732484898003628	66	54	0.818181818181818	6
svarya	0.99133226393018	0.991134239675528	1.40181551516814	9	9	1	1
vāśra	0.0556112354325168	0.83742961907605	0.839274077052418	11	10	0.909090909090909	6
syand	1.68122325415144	0.991286182815151	1.9517069263954	15	15	1	1
añjas	0.00930417306328278	0.654982583993883	0.65504866458279	5	4	0.8	7
vṛṣāy	1.33204156312647	0.991206479387672	1.66036893812084	12	12	1	1
trikadruka	0.783037306375756	0.991265620626272	1.26323194774823	7	7	1	2
sāyaka	0.78303730542984	0.991265620615366	1.26323194715333	7	7	1	2
jā	0.123993061415018	0.792906107870483	0.802542444470936	33	29	0.878787878787879	6
janay	0.261433016301041	0.737132889461152	0.78212027127393	95	78	0.821052631578947	4
kila	0.0287842674780324	0.709632383524716	0.710215920548967	12	10	0.833333333333333	7
vyaṃsa	0.650957581827627	0.991033502722336	1.18570366317094	6	6	1	2
vivraśc	0.447566968532771	0.991268277632916	1.08762539027137	4	4	1	2
śī	0.123379013758129	0.754083553769733	0.764110193036265	41	35	0.853658536585366	6
bādha	0.447566971054014	0.991268277685825	1.0876253913571	4	4	1	2
piṣ	0.0346683977783544	0.730990809075542	0.731812449168114	13	11	0.846153846153846	6
pād	0.0285214277444626	0.707728142241102	0.708302615525754	12	10	0.833333333333333	7
vadhri	0.02017934711056	0.746037264534837	0.746310127309305	7	6	0.857142857142857	6
pratimāna	0.0411508042633936	0.749712972232129	0.750841480889713	14	12	0.857142857142857	6
purutrā	0.23617657886804	0.892456034046032	0.923177745134156	29	27	0.931034482758621	4
nada	0.0201793471105446	0.746037264534541	0.746310127309009	7	6	0.857142857142857	6
ruh	0.372325688220856	0.885620268322673	0.960702699992593	49	45	0.918367346938776	4
mahina	0.430995552283964	0.924235923239838	1.01978880553552	36	34	0.944444444444444	2
pariṣṭhā	0.783037314990935	0.991265620725876	1.26323195316667	7	7	1	2
vadhar	0.0556112354324099	0.837429619075763	0.839274077052125	11	10	0.909090909090909	6
sū	0.0939612212400624	0.599367695848538	0.606688013664115	64	48	0.75	7
adhara	0.055611235432842	0.837429619076941	0.839274077053329	11	10	0.909090909090909	6
dānu	0.28155359318064	0.839134308936915	0.885109492813156	55	49	0.890909090909091	4
vatsa	0.0889836620009813	0.582461853929311	0.589219741171216	65	48	0.738461538461539	7
kāṣṭhā	1.23230136167309	0.99129182349297	1.58152651742086	11	11	1	1
madhya	0.198461422508835	0.838328852747999	0.861499971894374	39	35	0.897435897435897	4
śarīra	0.0272300974666082	0.776207339074937	0.776684821173837	8	7	0.875	6
niṇya	1.11832279198867	0.991272487828172	1.49441192855464	10	10	1	1
tamas	0.232178907106913	0.67100670283354	0.710040167985516	116	90	0.775862068965517	5
āśī	0.0813040468394205	0.86436900345561	0.86818438258662	13	12	0.923076923076923	6
dāsa	0.183982774744173	0.748480266960305	0.770760904192431	63	53	0.841269841269841	6
nirudh	0.56089397113812	0.991299636569104	1.13898069181226	5	5	1	2
paṇi	0.111684778581768	0.694761705586924	0.703681261166525	50	41	0.82	7
apidhā	0.00930417306328278	0.654982583993883	0.65504866458279	5	4	0.8	7
aśvya	0.332497129206244	0.875907194887131	0.936892605897515	48	44	0.916666666666667	4
avasṛj	1.82956714222428	0.990503555435069	2.08048389112635	18	18	1	1
sṛ	0.183649634624103	0.751143011162453	0.773267748917387	62	52	0.838709677419355	6
mih	1.82958500964855	0.990418027085041	2.0804588858965	18	18	1	1
yātṛ	0.447566971055712	0.991268277685864	1.08762539135784	4	4	1	2
navan	2.55907992551566	0.990859156611165	2.7442106211837	24	24	1	9
navati	0.467768953299372	0.948268730779623	1.05736530085169	26	25	0.961538461538462	2
śyena	0.133823604712901	0.677204591638243	0.690300525940893	65	52	0.8	7
avasā	0.558871192987803	0.991271030546491	1.13796101266797	5	5	1	2
bāhu	0.428419839750564	0.819737633458811	0.924939644950173	96	83	0.864583333333333	5
ara	0.0186399874394108	0.655303323782693	0.655568375756782	10	8	0.8	7
nemi	1.90686493555243	0.991294550359533	2.14913907600506	17	17	1	1
āyā	0.895903235404802	0.991276169769859	1.33614035638566	8	8	1	2
gavyat	1.68122325046354	0.991286182796112	1.95170692320893	15	15	1	1
kuvid	0.0200096269064572	0.289497168778342	0.290187863115623	50	25	0.5	8
āvṛj	0.650956973169915	0.991033494204574	1.18570332189543	6	6	1	2
apratīta	0.0813040468394205	0.86436900345561	0.86818438258662	13	12	0.923076923076923	6
namasy	0.200072495862033	0.914746435319862	0.936370676885419	19	18	0.947368421052632	4
