word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
толще	0.027221770471067	0.709376896587564	0.709899011268351	6	5	0.833333333333333	0.591582509390293	MediumCPI
спрятала	0.043069439154064	0.591593154942712	0.593158863681659	16	12	0.75	0.444869147761245	MediumCPI
кушаешь	0.00607018196492552	0.3951709448215	0.39521756380531	5	3	0.6	0.237130538283186	LowCPI
брюхо	0.0591552193776449	0.580481301169321	0.583487687091035	23	17	0.739130434782609	0.431273507849895	LowCPI
таскай	0.843657066311994	0.991242646001804	1.30166018176436	4	4	1	1.30166018176436	HighCPI
ль	0.0558046609256363	0.357310633727265	0.361642156220213	54	30	0.555555555555556	0.20091230901123	LowCPI
оттудова	0.0890446876347265	0.827304114598103	0.832082360362793	10	9	0.9	0.748874124326514	HighCPI
право	3.60923816960885	0.991286390762488	3.74289311542186	17	17	1	3.74289311542186	HighCPI
боров	0.00127690402512624	0.0405025201025825	0.0405226432818675	19	2	0.105263157894737	0.00426554139809131	VLowCPI
желуди	0.00117474269373399	0.0968050633667714	0.096812190936065	6	1	0.166666666666667	0.0161353651560108	VLowCPI
глубока	0.0020290603241854	0.134999678528606	0.135014926169762	7	2	0.285714285714286	0.0385756931913605	VLowCPI
широка	0.0020290603241854	0.134999678528606	0.135014926169762	7	2	0.285714285714286	0.0385756931913605	VLowCPI
перепрыгну	0.0012911052328587	0.148113917190915	0.148119544349689	4	1	0.25	0.0370298860874223	VLowCPI
этой	0.511175168219262	0.768163973648737	0.922700353861322	83	68	0.819277108433735	0.755947277862288	HighCPI
перепрыгнул	0.00996800658371993	0.472013595736993	0.472118836434026	6	4	0.666666666666667	0.314745890956017	LowCPI
желудей	0.00390004163228513	0.228907145689847	0.228940367066637	7	3	0.428571428571429	0.0981173001714157	VLowCPI
угодил	1.8446436203359	0.991028912657079	2.09400295887284	9	9	1	2.09400295887284	HighCPI
набралось	1.48571945133804	0.991282763394115	1.78605817516857	7	7	1	1.78605817516857	HighCPI
