word	k	p	sqrt_kp	sum	DF
grey	0.374055528523635	0.726460879665602	0.817106448453086	20	16
ahead	0.167514710296414	0.468366166431095	0.497421394818369	27	17
uncertain	0.471663317714518	0.870086846850079	0.989705717038645	10	9
slide	0.471663317714518	0.870086846850079	0.989705717038645	10	9
scuttle	0.0950081393672079	0.359853906819648	0.372184605806557	24	13
heaving	0.157708548433754	0.598873729267126	0.619291312594805	15	11
vapour	0.027116685338539	0.204206345070575	0.205998898033053	15	6
starbuck	0.139786773073711	0.091119978820974	0.166862795334059	198	40
lively	0.375371348830607	0.791983682118599	0.876436992752499	14	12
stubb	0.187720204217222	0.0939765358215597	0.209929665260478	257	51
steering	0.304332438070111	0.768743108099659	0.826791508853606	13	11
capstan	0.0534332444703536	0.387390939734964	0.391058629623957	12	7
approaching	8.02473037887394	0.991262705341073	8.08572194702627	10	10
windlass	0.0842692756193005	0.352299230303706	0.362237571886166	22	12
heave	0.361453086816189	0.751193147303413	0.833630300867571	17	14
elephant	0.0400783742119771	0.240222668551377	0.243543028160159	18	8
steady	0.220116208030763	0.536533816716819	0.579930755796379	27	18
wet	0.206801313291623	0.727492671637223	0.756314994208765	11	9
shot	0.288452576611579	0.532226390048132	0.605367507566705	36	24
remains	0.192000570546073	0.531837129399339	0.565433418978527	24	16
alongside	0.115349774189453	0.377588947820441	0.394815126257474	27	15
invested	0.280397168403859	0.654697947947659	0.712216241808468	21	16
encounter	0.0871493655265448	0.436127836141021	0.444749931274563	16	10
lantern	0.0827668146179723	0.494806349846604	0.501680844213257	12	8
gazing	0.597635463118949	0.78676797111771	0.988014163437993	23	19
flask	0.0890376343611671	0.104804049870276	0.137519413908888	108	26
murmured	0.265867748313304	0.758808249912153	0.804037076090357	12	10
hunt	0.232282368292974	0.578830329685248	0.623698363941518	24	17
forget	0.652617142225422	0.893890075612822	1.10677396138759	11	10
beware	0.0421583244386615	0.299525052573515	0.302477406492853	14	7
mariner	0.428197671805254	0.812843242263324	0.918731398523308	14	12
encountered	0.301557063220102	0.727988110312401	0.787974207150306	16	13
fly	9.62072209009542	0.991255741468079	9.67165350288375	12	12
blow	0.145650057238029	0.443046395662437	0.466373292420265	26	16
peril	9.62072209009542	0.991255741468079	9.67165350288375	12	12
level	0.461681848514689	0.73201893841716	0.865448932895134	24	19
advance	12.3872426185647	0.988174266762149	12.4265951922751	21	20
invariably	8.82720205809376	0.991262703942574	8.88268528783061	11	11
conceit	0.304332438070111	0.768743108099659	0.826791508853606	13	11
dutch	0.110659087491904	0.395673773151883	0.410856627553686	24	14
de	0.0382378093546475	0.125009121586536	0.130726472239098	38	11
X000	0.0156448045687059	0.0999870259404346	0.101203583268608	20	5
manned	0.0683198207140848	0.427349460541571	0.432776107620992	13	8
remarkable	1.31227314973476	0.934780947042723	1.61117231805567	13	12
bore	0.301557063220102	0.727988110312401	0.787974207150306	16	13
spanish	0.0629107423059895	0.448160198562144	0.452554223350916	11	7
discovery	0.206801313291623	0.727492671637223	0.756314994208765	11	9
split	1.97840434994955	0.952525913863824	2.19576624176651	14	13
job	0.0985007057440127	0.518287247855995	0.527564271271483	13	9
darting	0.375371348830607	0.791983682118599	0.876436992752499	14	12
imperial	0.0806659222757116	0.533900995325624	0.539960428018835	10	7
dignity	0.132888274543676	0.485466950112267	0.503326388303358	20	13
precious	0.269897948013982	0.68042843174217	0.732002563564682	18	14
endure	0.150207227431756	0.680812396693037	0.697185578353176	10	8
latitudes	0.151579058080878	0.589313671811442	0.608495533781942	15	11
token	0.428197671805254	0.812843242263324	0.918731398523308	14	12
polar	0.133597640753185	0.612543751406432	0.626943519786178	12	9
outward	0.158422428418196	0.692268088626906	0.710163905276147	10	8
welded	8.82720205809376	0.991262703942574	8.88268528783061	11	11
evinced	0.397085444805382	0.728633085351161	0.829809028358116	21	17
utterly	0.913122102887121	0.915290408806593	1.29288379494614	12	11
lowering	0.479877352339433	0.791042935767132	0.925219541252446	18	15
critical	1.97840434994955	0.952525913863824	2.19576624176651	14	13
torn	0.157708548433754	0.598873729267126	0.619291312594805	15	11
limbs	0.471663317714518	0.870086846850079	0.989705717038645	10	9
firm	11.9958300564105	0.991256729642934	12.0367158580048	15	15
terrific	0.428197671805254	0.812843242263324	0.918731398523308	14	12
nations	8.02473037887394	0.991262705341073	8.08572194702627	10	10
stars	1.31227314979135	0.934780947045355	1.61117231810329	13	12
pale	0.197522704022578	0.636763787184901	0.666695837150982	16	12
usage	0.265867748313304	0.758808249912153	0.804037076090357	12	10
valiant	0.471663317714518	0.870086846850079	0.989705717038645	10	9
indifferent	0.652617142225422	0.893890075612822	1.10677396138759	11	10
flank	0.104363416220511	0.532701918124045	0.542828754045189	13	9
humor	0.471663317714518	0.870086846850079	0.989705717038645	10	9
row	0.0755749929112702	0.386983387162616	0.394293953153469	17	10
loaded	0.104363416220511	0.532701918124045	0.542828754045189	13	9
leviathans	0.874151835750168	0.87954134639973	1.24005419719141	17	15
mystic	0.685236986854162	0.858784585325012	1.09866313861202	16	14
species	0.171606517988059	0.448208449888463	0.479937091260307	30	18
divided	0.158422428418196	0.692268088626906	0.710163905276147	10	8
whalers	0.0504167732914843	0.273679702284135	0.278284801006914	19	9
descend	0.913122102887121	0.915290408806593	1.29288379494614	12	11
headsman	0.0806659222756896	0.533900995325517	0.539960428018726	10	7
